City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,queensbury,53.7667,-1.9167,13.78,94,100,7.79,GB,1696537617
84,kuala terengganu,5.3302,103.1408,25.97,94,20,1.54,MY,1696537357
85,east london,-33.0153,27.9116,19.36,91,100,3.73,ZA,1696537617
86,argo,37.6333,22.7333,20.62,50,3,1.51,GR,1696537617
87,wailua homesteads,22.0669,-159.378,28.96,74,40,4.63,US,1696537617
88,muntok,-2.0667,105.1833,26.3,82,91,3.1,ID,1696537617
89,isafjordur,66.0755,-23.124,2.5,92,98,9.43,IS,1696537617
90,ziro,27.6333,93.8333,14.46,100,100,0.43,IN,1696537617
91,chulakkurgan,43.765,69.1814,17.53,32,100,1.37,KZ,1696537618
92,sittwe,20.15,92.9,26.79,88,95,2.3,MM,1696537619
93,alice springs,-23.7,133.8833,6.75,49,0,0.0,AU,1696537619
94,margaret river,-33.95,115.0667,12.65,85,57,3.9,AU,1696537619
95,harstad,68.799,16.5293,2.66,97,100,6.26,NO,1696537619
96,khandyga,62.6667,135.6,-0.55,98,100,2.21,RU,1696537619
97,kayangel,8.0823,134.7173,28.21,78,100,6.25,PW,1696537619
98,sanlucar de barrameda,36.7781,-6.3515,24.05,57,78,1.71,ES,1696537619
99,namdrik,5.5994,168.1028,26.25,84,100,3.68,MH,1696537619
100,lebu,-37.6167,-73.65,12.02,67,35,3.45,CL,1696537619
101,ormeau,-27.7833,153.2667,19.26,84,17,1.83,AU,1696537620
102,la passe,45.5549,-0.8967,16.1,46,99,3.33,FR,1696537620
103,yashkino,55.8736,85.4265,7.2,65,100,2.8,RU,1696537620
104,princeville,45.7668,-61.2985,20.73,79,0,3.09,CA,1696537620
105,petropavlovsk-kamchatsky,53.0452,158.6483,7.47,84,75,4.02,RU,1696537620
106,thompson,55.7435,-97.8558,10.09,71,75,2.57,CA,1696537620
107,cabo san lucas,22.8909,-109.9124,33.17,67,40,7.2,MX,1696537620
108,bassila,9.0081,1.6654,22.9,95,100,1.52,BJ,1696537620
109,saint-die-des-vosges,48.2833,6.95,9.99,67,98,1.27,FR,1696537620
110,college,64.8569,-147.8028,1.56,65,75,2.57,US,1696537620
111,nova sintra,14.8667,-24.7167,23.99,77,48,3.94,CV,1696537621
112,acapulco de juarez,16.8634,-99.8901,31.9,70,20,1.03,MX,1696537621
113,enewetak,11.3474,162.3373,28.26,75,100,5.72,MH,1696537621
114,hermanus,-34.4187,19.2345,15.68,84,100,7.9,ZA,1696537621
115,saldanha,-33.0117,17.9442,15.38,92,5,2.39,ZA,1696537621
116,udachny,66.4167,112.4,-10.59,96,23,1.56,RU,1696537621
117,georgetown,5.4112,100.3354,26.96,92,20,1.03,MY,1696537549
118,queenstown,-31.8976,26.8753,16.79,87,80,2.7,ZA,1696537621
119,walvis bay,-22.9575,14.5053,14.53,88,48,0.51,NA,1696537622
120,vorgashor,67.5833,63.95,3.57,93,100,10.17,RU,1696537622
121,pasni,25.2631,63.471,27.16,88,3,3.48,PK,1696537532
122,oamaru,-45.0784,170.9801,9.65,93,92,3.79,NZ,1696537622
123,pitimbu,-7.4706,-34.8086,27.33,77,31,6.12,BR,1696537622
124,edson,53.5835,-116.4356,6.08,33,0,3.6,CA,1696537622
125,new norfolk,-42.7826,147.0587,6.72,96,69,1.61,AU,1696537622
126,tiksi,71.6872,128.8694,-6.37,92,94,3.64,RU,1696537622
127,marco island,25.9363,-81.7157,34.46,59,0,2.57,US,1696537622
128,serra,-20.1286,-40.3078,25.7,83,20,8.75,BR,1696537622
129,ust-nera,64.5667,143.2,-1.55,73,99,1.34,RU,1696537481
130,ko pha ngan,9.7578,100.0291,25.66,77,100,6.6,TH,1696537622
